1,1,2,1,1,1,1,1,1,3,2,1,10,2,2,1,47,28,1,2,1,46,1,2,1,1,10,1,14,9,6,2,2,1,1,22,1,1,1,3,1,1,16,9,1,1,1,26,1,23,1,2,5,1,1,3,1,13,4,1,3,3,3,1,3,2,1,4,1,1,1,1,1,1,24,5,6,1,3,5,1,2,19,2,9,12,1,1,8,5,3,1,1,20,1,8,1,2,1,1
6,8,2,2,2,2,3,1,2,23,45,1,1,3,4,2,2,13,1,1,1,7,1,3,3,4,1,1,4,2,2,1,1,13,10,2,8,1,2,1,35,1,3,3,1,11,2,1,1,1,3,6,16,1,1,1,1,8,1,5,1,1,8,2,1,41,2,4,1,1,2,10,1,1,1,1,3,20,2,10,1,3,1,1,33,9,4,3,1,9,7,1,1,2,1,8,1,1,4,8
2,1,15,3,1,2,1,49,1,24,14,1,9,2,1,1,2,31,1,16,1,7,1,32,1,5,1,3,2,12,2,1,3,2,3,7,1,1,2,1,1,5,2,7,1,2,4,2,1,1,27,17,2,1,1,25,3,11,2,1,2,1,49,8,15,3,5,4,8,16,5,25,1,24,1,26,40,1,18,1,1,2,1,1,11,10,14,23,3,2,3,2,3,1,13,5,1,5,2,4
1,9,1,1,1,3,1,2,2,3,5,8,1,1,2,1,7,1,2,21,1,6,22,1,2,2,11,23,25,20,1,1,1,1,4,27,1,5,3,6,1,2,5,2,1,1,2,1,27,1,1,1,1,1,1,2,1,3,1,5,1,3,3,11,2,26,1,1,45,13,4,4,5,33,1,1,1,4,20,4,1,3,1,35,1,3,1,1,1,13,11,1,1,6,6,1,1,10,1,19
1,3,4,2,14,1,4,1,1,1,15,1,4,1,1,2,1,1,1,1,4,12,1,30,4,2,1,1,6,1,4,1,1,31,1,1,10,1,1,1,1,7,1,1,15,2,1,1,1,1,1,34,45,37,1,2,1,1,1,1,27,26,6,39,4,1,3,1,4,1,1,22,1,26,1,1,27,1,1,1,1,1,2,1,2,2,1,1,23,1,1,1,5,3,3,1,1,1,7,1
2,1,11,9,1,1,27,2,1,4,2,2,1,4,22,1,7,2,3,1,4,1,37,1,3,6,1,1,1,11,4,1,1,3,2,14,15,1,5,4,1,10,50,1,2,2,2,38,7,1,3,3,13,1,2,1,1,4,16,1,2,2,1,1,1,22,4,8,1,13,1,4,1,1,33,1,1,1,1,1,4,34,1,1,2,2,1,1,1,5,5,17,1,13,4,1,34,1,2,1
1,43,2,5,1,1,1,1,24,1,1,1,35,2,1,2,5,33,11,27,1,5,1,6,27,1,2,1,2,1,4,1,2,3,3,7,3,3,21,1,2,1,1,1,2,10,1,11,4,1,3,1,3,11,6,2,1,1,7,2,1,1,10,2,4,8,1,1,30,3,1,2,3,6,1,4,12,7,17,3,2,6,2,1,1,2,1,9,3,1,1,7,6,2,20,4,1,2,1,1
1,2,5,4,1,6,1,4,2,33,2,3,3,4,1,1,7,30,4,7,3,1,2,16,2,1,2,1,1,1,3,3,1,1,2,3,3,1,6,1,2,1,1,5,1,1,1,1,1,7,1,3,1,6,1,10,3,34,26,2,14,6,6,6,8,1,1,2,1,3,1,2,1,32,1,27,1,24,2,2,18,3,2,2,11,1,1,1,7,1,5,1,1,1,6,19,8,15,6,4
3,1,1,5,2,8,1,2,1,1,3,3,1,3,1,2,3,23,2,17,7,2,4,1,5,2,41,8,41,1,1,2,1,1,1,4,13,12,1,1,1,6,1,1,1,1,1,1,29,26,2,21,1,4,1,1,1,1,1,2,33,2,1,1,2,1,1,1,1,1,1,1,24,1,1,2,5,1,4,1,1,4,1,2,2,1,4,34,1,3,1,3,1,10,1,12,1,5,8,1
2,5,1,5,1,1,1,1,5,1,4,1,1,1,1,1,1,7,2,3,2,2,2,5,2,7,3,2,1,6,22,2,1,4,6,1,1,1,2,2,7,9,1,3,1,47,1,1,1,1,6,5,1,4,19,2,2,1,2,1,1,3,1,2,1,8,21,1,1,20,1,3,13,1,3,28,1,1,2,1,35,1,1,33,7,6,1,2,2,2,1,1,4,15,11,3,1,1,3,1
